idhspid,bidx,country_str,dhs_code,kidbirthmo,kidbirthyr,precip_12m,z_precip_12m,n_months_matched,n_years_avg
        340021011 51  2,1,HN,16,4,2009,120.8685898908292,-.3261477566464717,12,15
        340021011 61  2,1,HN,16,6,2009,128.4090831797405,-.1280421671582415,12,15
        340021011 81  2,1,HN,16,6,2011,160.6456480818606,.5905084245292932,12,15
        3400210111  1,1,HN,1,9,2008,145.9588796342721,-.2087819324434147,12,15
        3400210111  1,2,HN,1,9,2008,145.9588796342721,-.2087819324434147,12,15
        340021011101  2,1,HN,16,9,2011,157.0386547875943,.5426237886864701,12,15
        34002101111  2,1,HN,2,9,2009,159.7102203318227,-.1789333204142345,12,15
        34002101111  2,2,HN,2,6,2007,150.1484740132952,-.2062631061123207,12,15
        340021011121  2,1,HN,16,7,2011,155.5873990872679,.5454129182666166,12,15
        340021011121  2,2,HN,16,1,2008,150.258066847045,.2588358501698945,12,15
        340021011131  2,1,HN,16,3,2011,142.464653417935,.0460242876726137,12,15
        340021011131  2,2,HN,16,9,2009,131.7449005043582,.0200732667573872,12,15
        340021011161  2,1,HN,16,8,2009,125.1996599482805,-.0686446813089224,12,15
        340021011161  2,2,HN,16,9,2007,138.1727382284214,.0698475739453736,12,15
        340021011171  2,1,HN,16,11,2011,141.2753260883736,.2635793408232701,12,15
        340021011171  2,2,HN,16,1,2008,150.258066847045,.2588358501698945,12,15
        340021011191  2,1,HN,16,10,2011,142.7049403500134,.2814844119369797,12,15
        34002101151  2,1,HN,2,4,2007,149.6983959720861,-.1206147773423124,12,15
        34002101161  2,1,HN,2,2,2008,165.4775343440735,.1615686773280039,12,15
        34002101161  8,1,HN,2,2,2012,150.1369446172528,.2175851305977533,12,15
        34002101161  8,2,HN,2,9,2007,157.1115181412237,.1088828080663459,12,15
        34002101171  2,1,HN,2,1,2010,153.509919539637,-.0775155543558097,12,15
        34002101171  2,2,HN,2,2,2008,165.4775343440734,.1615686773280039,12,15
        340021012 11  2,1,HN,16,10,2008,128.7806510269626,-.3441243171874346,12,15
        340021012 21  2,1,HN,16,6,2010,133.3680120774294,.0683839573680923,12,15
        340021012 41  2,1,HN,16,8,2008,137.4314256290915,-.2053543227531984,12,15
        340021012 51  2,1,HN,16,4,2007,127.8630864056406,-.1151595427021058,12,15
        340021012 61  2,1,HN,16,11,2009,147.0969868778881,.2692577379929862,12,15
        340021012 61  2,2,HN,16,10,2008,128.7806510269626,-.3441243171874346,12,15
        340021012 81  2,1,HN,16,9,2010,135.9628104098344,.0509241208449713,12,15
        340021012151  2,1,HN,16,9,2009,131.7449005043582,.0200732667573872,12,15
        340021012151  2,2,HN,16,1,2007,123.6882924555552,-.2560891780085635,12,15
        340021012181  2,1,HN,16,1,2010,137.2963352777935,.0224972041586956,12,15
        340021012181 10,1,HN,16,6,2010,133.3680120774293,.0683839573680923,12,15
        340021012181 13,1,HN,16,10,2008,128.7806510269626,-.3441243171874346,12,15
        340021012191  2,1,HN,16,5,2007,126.1593421635362,-.2043758960334669,12,15
        340021012201  2,1,HN,16,4,2007,127.8630864056406,-.1151595427021057,12,15
        340021013 21  3,1,HN,16,10,2010,132.0029289810641,-.0250256481219465,12,15
        340021013 51  2,1,HN,16,3,2007,130.227416880829,.0323493473463456,12,15
        340021013 91  1,1,HN,16,9,2011,157.0386547875943,.5426237886864701,12,15
        340021013 91  1,2,HN,16,4,2009,120.8685898908292,-.3261477566464717,12,15
        340021013121  2,1,HN,16,12,2008,112.7529692832858,-.5530227990169104,12,15
        340021013131  2,1,HN,16,2,2010,139.3275366894507,.1082338112405122,12,15
        340021013132  2,1,HN,16,11,2010,140.3427515749711,.0816754237407707,12,15
        340021013132  2,2,HN,16,12,2009,148.1333843787514,.2921449233662505,12,15
        340021013133  2,1,HN,16,8,2011,147.8952525556533,.410345567906113,12,15
