country,dhs_code,birth_year,month,baseline_mean,baseline_sd,n_years_used,baseline_year_start,baseline_year_end
HN,10,1994,7,215.134096434831,66.77476443210431,14,1980,1993
HN,10,1994,8,245.5532272586226,85.16075350421106,14,1980,1993
HN,10,1994,9,340.1229652713837,68.58451611598601,14,1980,1993
HN,10,1994,10,201.7622406064986,82.37625887620231,14,1980,1993
HN,10,1994,11,61.46894757628634,34.27820803416164,14,1980,1993
HN,10,1994,12,32.32077701481182,14.50659194587316,14,1980,1993
HN,10,1995,1,19.28259637183379,7.09952405621763,15,1980,1994
HN,10,1995,2,16.7768805194271,9.280635752476474,15,1980,1994
HN,10,1995,3,21.84571037079974,12.30332269199793,15,1980,1994
HN,10,1995,4,43.40542415332697,19.41253882571463,15,1980,1994
HN,10,1995,5,222.3118580777956,128.0865051070115,15,1980,1994
HN,10,1995,6,300.6152338976165,77.3993053201162,15,1980,1994
HN,10,1995,7,207.2175647276783,71.27727986096347,15,1980,1994
HN,10,1995,8,238.8712594910168,86.04684221324817,15,1980,1994
HN,10,1995,9,347.3775863088653,71.81427763170991,15,1980,1994
HN,10,1995,10,197.1282957962903,81.38332915001696,15,1980,1994
HN,10,1995,11,61.01093058569408,33.07890545650265,15,1980,1994
HN,10,1995,12,31.55169914212615,14.29272215171671,15,1980,1994
HN,10,1996,1,18.59573326500201,6.185937543277003,15,1981,1995
HN,10,1996,2,16.99813427691325,9.225119702581019,15,1981,1995
HN,10,1996,3,22.9090849571149,11.57171951507626,15,1981,1995
HN,10,1996,4,43.83663538116657,20.29097275297648,15,1981,1995
HN,10,1996,5,210.8451382567049,137.6846571893369,15,1981,1995
HN,10,1996,6,298.8502105960616,77.54802353225017,15,1981,1995
HN,10,1996,7,209.8758778666497,74.01740893071405,15,1981,1995
HN,10,1996,8,250.7271626832784,93.08960366530997,15,1981,1995
HN,10,1996,9,341.2619396757663,68.7762066727544,15,1981,1995
HN,10,1996,10,191.9106588035471,75.66178989047329,15,1981,1995
HN,10,1996,11,60.79737270066619,33.06318618490003,15,1981,1995
HN,10,1996,12,31.83165301735758,14.09313778221611,15,1981,1995
HN,10,1997,1,18.64303266974849,6.161442644196306,15,1982,1996
HN,10,1997,2,15.95263476660775,9.502698520055391,15,1982,1996
HN,10,1997,3,20.95574068557599,8.942182505021114,15,1982,1996
HN,10,1997,4,47.07746732010024,21.57737556958987,15,1982,1996
HN,10,1997,5,212.9532395678923,137.390468646297,15,1982,1996
HN,10,1997,6,286.2656108483718,70.90558949613374,15,1982,1996
HN,10,1997,7,209.0700220467295,73.81813202588522,15,1982,1996
HN,10,1997,8,254.9314381038068,100.3237555301279,15,1982,1996
HN,10,1997,9,336.0419932052521,72.66557799911919,15,1982,1996
HN,10,1997,10,184.7168465976919,69.56893048236685,15,1982,1996
HN,10,1997,11,63.9493154519504,32.3036138913191,15,1982,1996
HN,10,1997,12,29.71371258394016,12.23410524323559,15,1982,1996
HN,10,1998,1,17.8165952593272,4.878125907100865,15,1983,1997
HN,10,1998,2,15.57913034789304,9.091090145507833,15,1983,1997
HN,10,1998,3,20.30200695545219,9.070174154959332,15,1983,1997
HN,10,1998,4,45.02117405877024,20.90018533761304,15,1983,1997
HN,10,1998,5,200.8915854588978,132.0279930625121,15,1983,1997
HN,10,1998,6,286.0178919302783,70.82952328838846,15,1983,1997
HN,10,1998,7,214.2236231438243,72.19233908151286,15,1983,1997
HN,10,1998,8,262.6723372813943,95.42968227471579,15,1983,1997
HN,10,1998,9,333.1253074522832,72.08917896401609,15,1983,1997
HN,10,1998,10,188.142372395212,68.58273016448244,15,1983,1997
HN,10,1998,11,68.10922551873259,31.27335534223108,15,1983,1997
HN,10,1998,12,29.80162751163356,12.1474188388481,15,1983,1997
HN,10,1999,1,18.63295183245386,5.103145278562366,15,1984,1998
HN,10,1999,2,13.78660034584562,6.953113620308824,15,1984,1998
HN,10,1999,3,20.70529205043412,8.72403008573133,15,1984,1998
HN,10,1999,4,45.57005842339424,20.93713185821526,15,1984,1998
HN,10,1999,5,208.4507812232917,127.603863167058,15,1984,1998
HN,10,1999,6,280.2999572679525,69.15970506206486,15,1984,1998
HN,10,1999,7,213.032893227222,72.00632176424507,15,1984,1998
HN,10,1999,8,260.6215776460023,95.9293233767649,15,1984,1998
HN,10,1999,9,331.3233621627326,73.74098632335883,15,1984,1998
